query_id,reference_id
Q00581,
Q00582,R764540
Q00583,
Q00584,R887036
Q00585,
Q00586,R342971
Q00587,
Q00588,
Q00589,
Q00590,
Q00591,
Q00592,
Q00593,
Q00594,
Q00595,R401451
Q00596,R125688
Q00597,R348165
Q00598,
Q00599,
Q00600,
Q00601,
Q00602,R202585
Q00603,
Q00604,
Q00605,
Q00606,
Q00607,R199799
Q00608,
Q00609,R342268
Q00610,
Q00611,
Q00612,
Q00613,
Q00614,
Q00615,
Q00616,
Q00617,
Q00618,
Q00619,
Q00620,R446295
Q00621,
Q00622,
Q00623,
Q00624,
Q00625,
Q00626,
Q00627,
Q00628,
Q00629,
Q00630,
Q00631,
Q00632,
Q00633,
Q00634,
Q00635,
Q00636,
Q00637,
Q00638,R885088
Q00639,R203160
Q00640,
Q00641,
Q00642,
Q00643,
Q00644,
Q00645,
Q00646,
Q00647,
Q00648,R835984
Q00649,R470267
Q00650,R762181
Q00651,
Q00652,R416618
Q00653,
Q00654,R449375
Q00655,
Q00656,
Q00657,
Q00658,
Q00659,
Q00660,
Q00661,
Q00662,
Q00663,
Q00664,
Q00665,
Q00666,
Q00667,R075820
Q00668,
Q00669,
Q00670,
Q00671,
Q00672,
Q00673,
Q00674,R389005
Q00675,
Q00676,
Q00677,
Q00678,
Q00679,
Q00680,R056788
Q00681,
Q00682,
Q00683,
Q00684,
Q00685,R946181
Q00686,R851226
Q00687,R162069
Q00688,
Q00689,
Q00690,
Q00691,
Q00692,
Q00693,
Q00694,R055933
Q00695,R450725
Q00696,
Q00697,
Q00698,R694106
Q00699,
Q00700,
Q00701,
Q00702,
Q00703,
Q00704,
Q00705,
Q00706,
Q00707,
Q00708,
Q00709,
Q00710,
Q00711,
Q00712,
Q00713,
Q00714,
Q00715,
Q00716,
Q00717,
Q00718,
Q00719,
Q00720,R757419
Q00721,
Q00722,
Q00723,
Q00724,
Q00725,
Q00726,
Q00727,
Q00728,
Q00729,
Q00730,
Q00731,
Q00732,
Q00733,
Q00734,
Q00735,
Q00736,
Q00737,
Q00738,
Q00739,
Q00740,
Q00741,
Q00742,R480181
Q00743,R155565
Q00744,
Q00745,
Q00746,R893827
Q00747,
Q00748,R007851
Q00749,
Q00750,
Q00751,
Q00752,R821955
Q00753,
Q00754,
Q00755,
Q00756,
Q00757,
Q00758,R850365
Q00759,
Q00760,
Q00761,
Q00762,
Q00763,
Q00764,
Q00765,
Q00766,
Q00767,
Q00768,
Q00769,
Q00770,R174933
Q00771,
Q00772,
Q00773,
Q00774,R408785
Q00775,
Q00776,
Q00777,
Q00778,
Q00779,
Q00780,
Q00781,
Q00782,R462324
Q00783,
Q00784,
Q00785,
Q00786,
Q00787,
Q00788,
Q00789,R633069
Q00790,
Q00791,
Q00792,
Q00793,
Q00794,R309629
Q00795,R082645
Q00796,
Q00797,R951914
Q00798,
Q00799,
Q00800,
Q00801,
Q00802,
Q00803,
Q00804,
Q00805,
Q00806,
Q00807,
Q00808,
Q00809,
Q00810,
Q00811,
Q00812,
Q00813,
Q00814,R032607
Q00815,R074463
Q00816,
Q00817,
Q00818,
Q00819,
Q00820,R857479
Q00821,
Q00822,
Q00823,
Q00824,R964604
Q00825,
Q00826,
Q00827,
Q00828,
Q00829,
Q00830,
Q00831,
Q00832,
Q00833,
Q00834,
Q00835,
Q00836,
Q00837,
Q00838,
Q00839,
Q00840,
Q00841,
Q00842,
Q00843,
Q00844,
Q00845,
Q00846,R033260
Q00847,
Q00848,R780955
Q00849,
Q00850,
Q00851,
Q00852,
Q00853,
Q00854,R161734
Q00855,
Q00856,
Q00857,
Q00858,
Q00859,
Q00860,
Q00861,R126235
Q00862,
Q00863,
Q00864,
Q00865,
Q00866,
Q00867,
Q00868,
Q00869,
Q00870,R906030
Q00871,
Q00872,
Q00873,
Q00874,R357118
Q00875,
Q00876,
Q00877,R204794
Q00878,
Q00879,
Q00880,R883160
Q00881,R124803
Q00882,
Q00883,
Q00884,
Q00885,
Q00886,
Q00887,
Q00888,
Q00889,R837403
Q00890,
Q00891,
Q00892,
Q00893,
Q00894,
Q00895,
Q00896,
Q00897,
Q00898,
Q00899,
Q00900,
Q00901,R561573
Q00902,
Q00903,
Q00904,
Q00905,
Q00906,R014120
Q00907,R737365
Q00908,
Q00909,
Q00910,R564257
Q00911,R044290
Q00912,R544288
Q00913,
Q00914,
Q00915,
Q00916,
Q00917,R490086
Q00918,
Q00919,R559993
Q00920,
Q00921,
Q00922,
Q00923,
Q00924,
Q00925,R512880
Q00926,R416107
Q00927,
Q00928,
Q00929,
Q00930,
Q00931,
Q00932,
Q00933,
Q00934,
Q00935,
Q00936,
Q00937,
Q00938,
Q00939,R931402
Q00940,R552565
Q00941,
Q00942,
Q00943,
Q00944,
Q00945,
Q00946,R796566
Q00947,R348135
Q00948,
Q00949,
Q00950,
Q00951,
Q00952,
Q00953,
Q00954,
Q00955,R440640
Q00956,
Q00957,
Q00958,R245898
Q00959,
Q00960,R370997
Q00961,
Q00962,R170231
Q00963,
Q00964,
Q00965,
Q00966,R838707
Q00967,
Q00968,R988996
Q00969,
Q00970,
Q00971,
Q00972,
Q00973,R860967
Q00974,
Q00975,
Q00976,R249398
Q00977,R314665
Q00978,R532303
Q00979,
Q00980,
Q00981,
Q00982,
Q00983,
Q00984,
Q00985,R261312
Q00986,R521685
Q00987,R782114
Q00988,
Q00989,
Q00990,
Q00991,R930054
Q00992,
Q00993,
Q00994,
Q00995,
Q00996,
Q00997,
Q00998,
Q00999,
Q01000,
Q01001,
Q01002,
Q01003,
Q01004,
Q01005,
Q01006,R655225
Q01007,
Q01008,R224199
Q01009,
Q01010,
Q01011,
Q01012,R346608
Q01013,
Q01014,
Q01015,
Q01016,
Q01017,
Q01018,
Q01019,
Q01020,
Q01021,R320697
Q01022,
Q01023,R681303
Q01024,
Q01025,
Q01026,
Q01027,
Q01028,
Q01029,
Q01030,
Q01031,
Q01032,
Q01033,
Q01034,
Q01035,
Q01036,
Q01037,
Q01038,
Q01039,
Q01040,
Q01041,
Q01042,
Q01043,
Q01044,R189537
Q01045,
Q01046,
Q01047,
Q01048,
Q01049,
Q01050,
Q01051,
Q01052,
Q01053,
Q01054,
Q01055,R771254
Q01056,
Q01057,
Q01058,
Q01059,
Q01060,
Q01061,
Q01062,
Q01063,
Q01064,
Q01065,
Q01066,R553831
Q01067,
Q01068,
Q01069,
Q01070,
Q01071,R829384
Q01072,
Q01073,
Q01074,
Q01075,
Q01076,
Q01077,
Q01078,
Q01079,
Q01080,
Q01081,R243077
Q01082,
Q01083,
Q01084,
Q01085,
Q01086,R521221
Q01087,R263735
Q01088,
Q01089,
Q01090,
Q01091,R484233
Q01092,R709884
Q01093,
Q01094,R026396
Q01095,
Q01096,
Q01097,
Q01098,
Q01099,
Q01100,
Q01101,
Q01102,
Q01103,
Q01104,
Q01105,R293609
Q01106,
Q01107,
Q01108,R630410
Q01109,R877317
Q01110,
Q01111,
Q01112,
Q01113,R255665
Q01114,R021968
Q01115,
Q01116,
Q01117,R129301
Q01118,R953999
Q01119,
Q01120,R726639
Q01121,
Q01122,
Q01123,
Q01124,
Q01125,
Q01126,
Q01127,
Q01128,R254830
Q01129,R726707
Q01130,
Q01131,R256111
Q01132,
Q01133,
Q01134,R147358
Q01135,
Q01136,
Q01137,
Q01138,
Q01139,R040062
Q01140,
Q01141,
Q01142,
Q01143,
Q01144,R032013
Q01145,
Q01146,R394570
Q01147,
Q01148,R590030
Q01149,R056083
Q01150,R010286
Q01151,
Q01152,R109078
Q01153,R638005
Q01154,
Q01155,
Q01156,
Q01157,
Q01158,R735116
Q01159,
Q01160,R645894
Q01161,
Q01162,
Q01163,
Q01164,R658448
Q01165,
Q01166,R177493
Q01167,
Q01168,
Q01169,
Q01170,
Q01171,
Q01172,R196328
Q01173,R351621
Q01174,
Q01175,
Q01176,
Q01177,
Q01178,
Q01179,
Q01180,
Q01181,R948742
Q01182,R925451
Q01183,R173806
Q01184,R207105
Q01185,
Q01186,
Q01187,
Q01188,R224883
Q01189,
Q01190,
Q01191,
Q01192,
Q01193,R551878
Q01194,
Q01195,
Q01196,R193853
Q01197,
Q01198,
Q01199,
Q01200,R043984
Q01201,
Q01202,
Q01203,
Q01204,R026440
Q01205,
Q01206,R191004
Q01207,
Q01208,
Q01209,R097568
Q01210,
Q01211,
Q01212,
Q01213,
Q01214,
Q01215,
Q01216,
Q01217,
Q01218,
Q01219,
Q01220,
Q01221,
Q01222,
Q01223,
Q01224,
Q01225,
Q01226,
Q01227,
Q01228,
Q01229,
Q01230,
Q01231,
Q01232,R954562
Q01233,
Q01234,
Q01235,R078160
Q01236,
Q01237,
Q01238,
Q01239,
Q01240,
Q01241,
Q01242,
Q01243,
Q01244,
Q01245,
Q01246,
Q01247,
Q01248,
Q01249,
Q01250,R464148
Q01251,
Q01252,
Q01253,
Q01254,
Q01255,
Q01256,
Q01257,
Q01258,
Q01259,R934438
Q01260,
Q01261,
Q01262,
Q01263,R084305
Q01264,R602395
Q01265,
Q01266,
Q01267,
Q01268,
Q01269,R318385
Q01270,
Q01271,R589520
Q01272,R289891
Q01273,R414978
Q01274,R600207
Q01275,
Q01276,
Q01277,
Q01278,R584789
Q01279,
Q01280,
Q01281,
Q01282,
Q01283,
Q01284,
Q01285,
Q01286,
Q01287,
Q01288,
Q01289,
Q01290,R145485
Q01291,
Q01292,R569833
Q01293,
Q01294,
Q01295,
Q01296,
Q01297,
Q01298,
Q01299,
Q01300,
Q01301,
Q01302,
Q01303,
Q01304,
Q01305,
Q01306,
Q01307,
Q01308,
Q01309,
Q01310,R847749
Q01311,
Q01312,
Q01313,
Q01314,
Q01315,
Q01316,R230119
Q01317,
Q01318,
Q01319,R180880
Q01320,
Q01321,
Q01322,
Q01323,
Q01324,
Q01325,
Q01326,
Q01327,R964011
Q01328,
Q01329,
Q01330,R205413
Q01331,
Q01332,
Q01333,
Q01334,
Q01335,
Q01336,
Q01337,
Q01338,
Q01339,
Q01340,
Q01341,R525243
Q01342,R334690
Q01343,
Q01344,
Q01345,R496116
Q01346,
Q01347,
Q01348,R926030
Q01349,
Q01350,
Q01351,R047843
Q01352,
Q01353,
Q01354,
Q01355,
Q01356,
Q01357,
Q01358,R207426
Q01359,
Q01360,
Q01361,
Q01362,R841920
Q01363,
Q01364,
Q01365,R327200
Q01366,
Q01367,
Q01368,R942310
Q01369,
Q01370,
Q01371,
Q01372,
Q01373,
Q01374,R888383
Q01375,
Q01376,
Q01377,R664202
Q01378,
Q01379,
Q01380,
Q01381,R746946
Q01382,
Q01383,R550291
Q01384,
Q01385,
Q01386,
Q01387,
Q01388,
Q01389,
Q01390,R805472
Q01391,
Q01392,
Q01393,
Q01394,
Q01395,
Q01396,
Q01397,
Q01398,
Q01399,
Q01400,
Q01401,
Q01402,
Q01403,
Q01404,
Q01405,
Q01406,
Q01407,
Q01408,
Q01409,
Q01410,
Q01411,
Q01412,
Q01413,
Q01414,
Q01415,
Q01416,
Q01417,
Q01418,
Q01419,R138136
Q01420,
Q01421,
Q01422,
Q01423,
Q01424,
Q01425,R478172
Q01426,
Q01427,
Q01428,
Q01429,
Q01430,
Q01431,
Q01432,R453941
Q01433,
Q01434,R957539
Q01435,
Q01436,
Q01437,
Q01438,
Q01439,
Q01440,
Q01441,
Q01442,
Q01443,
Q01444,R405092
Q01445,
Q01446,
Q01447,
Q01448,
Q01449,
Q01450,
Q01451,
Q01452,
Q01453,
Q01454,
Q01455,
Q01456,
Q01457,
Q01458,
Q01459,
Q01460,
Q01461,
Q01462,
Q01463,
Q01464,
Q01465,
Q01466,
Q01467,R036921
Q01468,
Q01469,
Q01470,
Q01471,
Q01472,
Q01473,
Q01474,R502957
Q01475,
Q01476,
Q01477,
Q01478,
Q01479,
Q01480,
Q01481,
Q01482,
Q01483,R519341
Q01484,
Q01485,
Q01486,
Q01487,R432442
Q01488,
Q01489,R560831
Q01490,
Q01491,R866326
Q01492,
Q01493,
Q01494,
Q01495,R847477
Q01496,
Q01497,
Q01498,R253113
Q01499,
Q01500,
Q01501,R540646
Q01502,
Q01503,
Q01504,
Q01505,
Q01506,
Q01507,R619715
Q01508,R440101
Q01509,
Q01510,
Q01511,
Q01512,
Q01513,R818886
Q01514,
Q01515,
Q01516,
Q01517,R558869
Q01518,
Q01519,R891638
Q01520,
Q01521,
Q01522,R556991
Q01523,
Q01524,
Q01525,
Q01526,
Q01527,
Q01528,R461724
Q01529,
Q01530,
Q01531,
Q01532,
Q01533,
Q01534,
Q01535,
Q01536,
Q01537,
Q01538,
Q01539,
Q01540,
Q01541,
Q01542,
Q01543,
Q01544,
Q01545,R698875
Q01546,
Q01547,R847964
Q01548,
Q01549,R017215
Q01550,
Q01551,
Q01552,
Q01553,
Q01554,
Q01555,
Q01556,
Q01557,
Q01558,
Q01559,R450464
Q01560,
Q01561,
Q01562,
Q01563,
Q01564,
Q01565,
Q01566,
Q01567,
Q01568,
Q01569,R543591
Q01570,
Q01571,
Q01572,
Q01573,R374983
Q01574,
Q01575,
Q01576,
Q01577,
Q01578,
Q01579,
Q01580,R609682
Q01581,R619873
Q01582,
Q01583,
Q01584,
Q01585,
Q01586,R997903
Q01587,
Q01588,R899255
Q01589,
Q01590,
Q01591,
Q01592,
Q01593,
Q01594,
Q01595,
Q01596,
Q01597,
Q01598,R885818
Q01599,
Q01600,
Q01601,
Q01602,
Q01603,
Q01604,
Q01605,
Q01606,
Q01607,R692439
Q01608,
Q01609,
Q01610,
Q01611,
Q01612,R668207
Q01613,
Q01614,R232784
Q01615,
Q01616,
Q01617,
Q01618,
Q01619,R183987
Q01620,
Q01621,
Q01622,
Q01623,
Q01624,R491512
Q01625,
Q01626,
Q01627,R582203
Q01628,
Q01629,
Q01630,
Q01631,
Q01632,
Q01633,
Q01634,
Q01635,R504919
Q01636,
Q01637,
Q01638,
Q01639,R078242
Q01640,
Q01641,
Q01642,
Q01643,
Q01644,
Q01645,
Q01646,
Q01647,R650339
Q01648,R315418
Q01649,
Q01650,
Q01651,
Q01652,
Q01653,
Q01654,
Q01655,
Q01656,
Q01657,
Q01658,
Q01659,
Q01660,
Q01661,
Q01662,R284968
Q01663,R043507
Q01664,
Q01665,R528710
Q01666,
Q01667,
Q01668,
Q01669,
Q01670,
Q01671,
Q01672,
Q01673,
Q01674,
Q01675,
Q01676,R125879
Q01677,
Q01678,
Q01679,R973617
Q01680,
Q01681,
Q01682,
Q01683,
Q01684,R687700
Q01685,
Q01686,
Q01687,
Q01688,
Q01689,
Q01690,
Q01691,
Q01692,R195591
Q01693,R422514
Q01694,
Q01695,
Q01696,
Q01697,
Q01698,
Q01699,
Q01700,
Q01701,
Q01702,
Q01703,
Q01704,
Q01705,
Q01706,
Q01707,
Q01708,
Q01709,R368304
Q01710,
Q01711,
Q01712,
Q01713,
Q01714,
Q01715,
Q01716,R745703
Q01717,
Q01718,
Q01719,R445181
Q01720,
Q01721,
Q01722,
Q01723,
Q01724,
Q01725,R496956
Q01726,R308423
Q01727,
Q01728,
Q01729,
Q01730,
Q01731,
Q01732,
Q01733,
Q01734,
Q01735,
Q01736,
Q01737,
Q01738,R271636
Q01739,R274361
Q01740,R195692
Q01741,R697334
Q01742,
Q01743,
Q01744,
Q01745,
Q01746,R930695
Q01747,
Q01748,
Q01749,
Q01750,
Q01751,
Q01752,R016653
Q01753,
Q01754,
Q01755,
Q01756,R942826
Q01757,R503512
Q01758,R861872
Q01759,R176668
Q01760,
Q01761,R322271
Q01762,R742239
Q01763,
Q01764,
Q01765,R538626
Q01766,
Q01767,
Q01768,R615382
Q01769,
Q01770,
Q01771,
Q01772,
Q01773,
Q01774,R812993
Q01775,
Q01776,
Q01777,
Q01778,
Q01779,
Q01780,
Q01781,R891977
Q01782,R597820
Q01783,R234615
Q01784,
Q01785,
Q01786,
Q01787,
Q01788,
Q01789,
Q01790,
Q01791,
Q01792,R265276
Q01793,
Q01794,
Q01795,
Q01796,R605867
Q01797,R126580
Q01798,
Q01799,R628268
Q01800,
Q01801,
Q01802,
Q01803,
Q01804,
Q01805,R763619
Q01806,
Q01807,
Q01808,
Q01809,
Q01810,
Q01811,
Q01812,
Q01813,R576298
Q01814,
Q01815,R271212
Q01816,
Q01817,
Q01818,R756958
Q01819,
Q01820,
Q01821,R844827
Q01822,
Q01823,
Q01824,
Q01825,R131094
Q01826,
Q01827,
Q01828,
Q01829,
Q01830,
Q01831,
Q01832,
Q01833,
Q01834,
Q01835,
Q01836,R271708
Q01837,R469294
Q01838,
Q01839,
Q01840,
Q01841,
Q01842,R868774
Q01843,
Q01844,
Q01845,
Q01846,
Q01847,
Q01848,
Q01849,R494882
Q01850,R902997
Q01851,
Q01852,R215835
Q01853,
Q01854,R002815
Q01855,
Q01856,R181615
Q01857,R187236
Q01858,R989517
Q01859,
Q01860,
Q01861,
Q01862,
Q01863,
Q01864,
Q01865,
Q01866,
Q01867,
Q01868,R799096
Q01869,R757984
Q01870,R739240
Q01871,
Q01872,R603355
Q01873,
Q01874,
Q01875,
Q01876,R436329
Q01877,
Q01878,
Q01879,
Q01880,
Q01881,R371292
Q01882,
Q01883,
Q01884,
Q01885,
Q01886,
Q01887,
Q01888,
Q01889,
Q01890,
Q01891,
Q01892,
Q01893,R017945
Q01894,
Q01895,
Q01896,R430516
Q01897,R124002
Q01898,
Q01899,
Q01900,R922780
Q01901,
Q01902,
Q01903,
Q01904,
Q01905,
Q01906,
Q01907,
Q01908,
Q01909,
Q01910,
Q01911,
Q01912,
Q01913,R581075
Q01914,
Q01915,
Q01916,
Q01917,
Q01918,
Q01919,R526806
Q01920,
Q01921,
Q01922,R541879
Q01923,
Q01924,
Q01925,
Q01926,
Q01927,
Q01928,
Q01929,
Q01930,
Q01931,
Q01932,
Q01933,
Q01934,R579014
Q01935,R572228
Q01936,
Q01937,
Q01938,
Q01939,
Q01940,
Q01941,R440226
Q01942,
Q01943,
Q01944,
Q01945,
Q01946,
Q01947,
Q01948,R535030
Q01949,R127266
Q01950,R333631
Q01951,R626178
Q01952,
Q01953,R142962
Q01954,
Q01955,
Q01956,R954612
Q01957,
Q01958,
Q01959,
Q01960,
Q01961,
Q01962,R903641
Q01963,
Q01964,
Q01965,
Q01966,R579681
Q01967,
Q01968,
Q01969,
Q01970,
Q01971,
Q01972,
Q01973,
Q01974,
Q01975,
Q01976,
Q01977,
Q01978,
Q01979,
Q01980,R080726
Q01981,
Q01982,
Q01983,
Q01984,
Q01985,
Q01986,
Q01987,
Q01988,R603670
Q01989,
Q01990,R958760
Q01991,
Q01992,
Q01993,R549530
Q01994,
Q01995,
Q01996,R335778
Q01997,R291322
Q01998,
Q01999,
Q02000,R768804
Q02001,
Q02002,
Q02003,
Q02004,
Q02005,
Q02006,
Q02007,
Q02008,
Q02009,
Q02010,
Q02011,
Q02012,
Q02013,
Q02014,
Q02015,R365353
Q02016,
Q02017,
Q02018,
Q02019,R463204
Q02020,
Q02021,
Q02022,
Q02023,R680357
Q02024,
Q02025,
Q02026,
Q02027,
Q02028,
Q02029,R762329
Q02030,
Q02031,
Q02032,
Q02033,R009770
Q02034,
Q02035,
Q02036,
Q02037,
Q02038,
Q02039,
Q02040,
Q02041,
Q02042,
Q02043,R445532
Q02044,
Q02045,
Q02046,
Q02047,
Q02048,R194460
Q02049,
Q02050,
Q02051,R008373
Q02052,
Q02053,
Q02054,
Q02055,
Q02056,
Q02057,
Q02058,
Q02059,
Q02060,
Q02061,R145079
Q02062,
Q02063,
Q02064,
Q02065,
Q02066,
Q02067,
Q02068,
Q02069,R106139
Q02070,
Q02071,
Q02072,
Q02073,
Q02074,R152374
Q02075,
Q02076,R223643
Q02077,
Q02078,
Q02079,R555698
Q02080,
Q02081,
Q02082,
Q02083,R742178
Q02084,R479671
Q02085,
Q02086,R254011
Q02087,
Q02088,R191263
Q02089,
Q02090,
Q02091,R648796
Q02092,R870047
Q02093,R536800
Q02094,
Q02095,
Q02096,R864871
Q02097,
Q02098,
Q02099,
Q02100,
Q02101,R094479
Q02102,
Q02103,
Q02104,
Q02105,R240985
Q02106,
Q02107,
Q02108,
Q02109,
Q02110,
Q02111,
Q02112,R891727
